date,hour,cars_present
2021-08-15,1,9
2021-08-15,2,22
2021-08-15,3,32
2021-08-15,4,31
2021-08-15,5,40
2021-08-15,6,45
2021-08-15,7,45
2021-08-15,8,47
2021-08-15,9,50
2021-08-15,10,54
2021-08-15,11,60
2021-08-15,12,67
2021-08-15,13,58
2021-08-15,14,62
2021-08-15,15,71
2021-08-15,16,72
2021-08-15,17,76
2021-08-15,18,72
2021-08-15,19,66
2021-08-15,20,65
2021-08-15,21,64
2021-08-15,22,60
2021-08-15,23,57
2021-08-16,0,58
2021-08-16,1,57
2021-08-16,2,61
2021-08-16,3,61
2021-08-16,4,63
2021-08-16,5,70
2021-08-16,6,68
2021-08-16,7,72
2021-08-16,8,66
2021-08-16,9,70
2021-08-16,10,70
2021-08-16,11,71
2021-08-16,12,63
2021-08-16,13,64
2021-08-16,14,58
2021-08-16,15,58
2021-08-16,16,57
2021-08-16,17,64
2021-08-16,18,58
2021-08-16,19,58
2021-08-16,20,64
2021-08-16,21,61
2021-08-16,22,55
2021-08-16,23,54
2021-08-17,0,53
2021-08-17,1,58
2021-08-17,2,57
2021-08-17,3,55
2021-08-17,4,52
2021-08-17,5,58
2021-08-17,6,66
2021-08-17,7,70
2021-08-17,8,69
2021-08-17,9,64
2021-08-17,10,61
2021-08-17,11,64
2021-08-17,12,65
2021-08-17,13,56
2021-08-17,14,54
2021-08-17,15,58
2021-08-17,16,55
2021-08-17,17,59
2021-08-17,18,58
2021-08-17,19,63
2021-08-17,20,67
2021-08-17,21,70
2021-08-17,22,71
2021-08-17,23,68
2021-08-18,0,69
2021-08-18,1,72
2021-08-18,2,64
2021-08-18,3,65
2021-08-18,4,65
2021-08-18,5,62
2021-08-18,6,62
2021-08-18,7,64
2021-08-18,8,69
2021-08-18,9,66
2021-08-18,10,68
2021-08-18,11,65
2021-08-18,12,71
2021-08-18,13,71
2021-08-18,14,67
2021-08-18,15,64
2021-08-18,16,66
2021-08-18,17,67
2021-08-18,18,69
2021-08-18,19,69
2021-08-18,20,71
2021-08-18,21,75
2021-08-18,22,64
2021-08-18,23,61
2021-08-19,0,67
2021-08-19,1,73
2021-08-19,2,73
2021-08-19,3,69
2021-08-19,4,67
2021-08-19,5,61
2021-08-19,6,56
2021-08-19,7,56
2021-08-19,8,58
2021-08-19,9,58
2021-08-19,10,59
2021-08-19,11,52
2021-08-19,12,60
2021-08-19,13,61
2021-08-19,14,64
2021-08-19,15,66
2021-08-19,16,68
2021-08-19,17,71
2021-08-19,18,71
2021-08-19,19,69
2021-08-19,20,68
2021-08-19,21,65
2021-08-19,22,57
2021-08-19,23,54
2021-08-20,0,54
2021-08-20,1,60
2021-08-20,2,62
2021-08-20,3,57
2021-08-20,4,68
2021-08-20,5,60
2021-08-20,6,56
2021-08-20,7,53
2021-08-20,8,58
2021-08-20,9,54
2021-08-20,10,53
2021-08-20,11,49
2021-08-20,12,62
2021-08-20,13,67
2021-08-20,14,69
2021-08-20,15,65
2021-08-20,16,66
2021-08-20,17,60
2021-08-20,18,62
2021-08-20,19,63
2021-08-20,20,60
2021-08-20,21,54
2021-08-20,22,55
2021-08-20,23,53
2021-08-21,0,54
2021-08-21,1,59
2021-08-21,2,63
2021-08-21,3,60
2021-08-21,4,55
2021-08-21,5,53
2021-08-21,6,55
2021-08-21,7,51
