hour,day_of_week,is_weekend,day_of_year,Actual,Predicted
1,4,False,227,8,11.92
2,4,False,227,13,19.3
3,4,False,227,17,29.46
4,4,False,227,30,35.82
5,4,False,227,35,39.68
6,4,False,227,48,43.25
7,4,False,227,45,45.81
8,4,False,227,47,49.77
9,4,False,227,54,51.32
10,4,False,227,57,56.49
11,4,False,227,60,59.03
12,4,False,227,59,60.13
13,4,False,227,64,57.45
14,4,False,227,63,58.95
15,4,False,227,54,63.5
16,4,False,227,57,65.85
17,4,False,227,57,67.93
18,4,False,227,56,66.34
19,4,False,227,57,62.28
20,4,False,227,49,59.93
21,4,False,227,53,59.61
22,4,False,227,57,57.35
23,4,False,227,56,58.84
0,5,True,228,60,46.16
1,5,True,228,59,47.5
2,5,True,228,60,50.16
3,5,True,228,58,53.13
4,5,True,228,50,53.19
5,5,True,228,52,54.72
6,5,True,228,54,55.97
7,5,True,228,54,59.08
8,5,True,228,54,59.3
9,5,True,228,60,58.06
10,5,True,228,59,58.44
11,5,True,228,59,59.89
12,5,True,228,59,59.35
13,5,True,228,69,58.05
14,5,True,228,67,56.93
15,5,True,228,65,54.78
16,5,True,228,66,53.24
17,5,True,228,57,55.99
18,5,True,228,53,58.28
19,5,True,228,60,58.9
20,5,True,228,63,59.53
21,5,True,228,56,59.42
22,5,True,228,59,59.03
23,5,True,228,59,57.99
0,6,True,229,50,61.64
1,6,True,229,49,63.19
2,6,True,229,54,64.88
3,6,True,229,60,65.32
4,6,True,229,63,62.07
5,6,True,229,62,64.46
6,6,True,229,56,63.23
7,6,True,229,56,60.98
8,6,True,229,57,60.67
9,6,True,229,61,58.16
10,6,True,229,63,56.99
11,6,True,229,60,55.83
12,6,True,229,62,55.25
13,6,True,229,65,54.79
14,6,True,229,65,55.14
15,6,True,229,65,55.74
16,6,True,229,64,55.28
17,6,True,229,59,55.9
18,6,True,229,53,56.23
19,6,True,229,57,51.4
20,6,True,229,59,55.22
21,6,True,229,56,54.3
22,6,True,229,55,49.43
23,6,True,229,51,52.4
0,0,False,230,50,59.06
1,0,False,230,50,60.11
2,0,False,230,48,58.87
3,0,False,230,42,61.35
4,0,False,230,44,61.39
5,0,False,230,44,59.48
6,0,False,230,46,59.44
7,0,False,230,49,63.51
8,0,False,230,56,61.66
9,0,False,230,58,60.83
10,0,False,230,53,60.78
11,0,False,230,53,61.58
12,0,False,230,52,62.89
13,0,False,230,53,64.45
14,0,False,230,55,64.07
15,0,False,230,50,63.58
16,0,False,230,56,65.55
17,0,False,230,53,66.37
18,0,False,230,54,65.3
19,0,False,230,50,65.63
20,0,False,230,55,66.9
21,0,False,230,54,67.84
22,0,False,230,54,66.67
23,0,False,230,52,62.92
0,1,False,231,56,65.92
1,1,False,231,63,67.82
2,1,False,231,61,64.5
3,1,False,231,59,66.12
4,1,False,231,59,65.9
5,1,False,231,62,64.35
6,1,False,231,60,62.54
7,1,False,231,62,62.66
8,1,False,231,65,64.04
9,1,False,231,61,62.6
10,1,False,231,52,61.03
11,1,False,231,62,58.96
12,1,False,231,60,61.15
13,1,False,231,60,63.59
14,1,False,231,63,63.71
15,1,False,231,61,64.77
16,1,False,231,58,67.29
17,1,False,231,59,66.29
18,1,False,231,65,65.41
19,1,False,231,65,66.29
20,1,False,231,65,67.05
21,1,False,231,66,67.56
22,1,False,231,65,66.59
23,1,False,231,68,62.93
0,2,False,232,62,65.73
1,2,False,232,61,67.6
2,2,False,232,63,64.99
3,2,False,232,66,65.81
4,2,False,232,64,64.74
5,2,False,232,63,62.45
6,2,False,232,56,59.87
7,2,False,232,62,60.2
8,2,False,232,66,62.22
9,2,False,232,64,62.55
10,2,False,232,70,61.32
11,2,False,232,72,58.79
12,2,False,232,68,62.62
13,2,False,232,67,64.79
14,2,False,232,73,65.38
15,2,False,232,69,65.37
16,2,False,232,69,66.74
17,2,False,232,69,65.7
18,2,False,232,59,65.59
19,2,False,232,63,65.59
20,2,False,232,63,66.17
21,2,False,232,59,66.06
22,2,False,232,64,63.26
23,2,False,232,67,60.27
0,3,False,233,64,60.55
1,3,False,233,62,61.98
2,3,False,233,60,62.4
3,3,False,233,62,64.03
4,3,False,233,64,62.62
5,3,False,233,60,59.92
6,3,False,233,61,57.11
7,3,False,233,73,56.08
8,3,False,233,65,57.89
9,3,False,233,68,59.76
10,3,False,233,72,59.37
11,3,False,233,75,55.95
12,3,False,233,70,57.69
13,3,False,233,67,59.66
14,3,False,233,73,62.63
15,3,False,233,75,63.87
16,3,False,233,68,63.38
17,3,False,233,63,60.56
18,3,False,233,59,60.04
19,3,False,233,54,58.54
20,3,False,233,57,59.67
21,3,False,233,62,58.64
22,3,False,233,58,56.95
23,3,False,233,60,56.49
0,4,False,234,61,54.46
1,4,False,234,70,55.07
2,4,False,234,60,57.28
3,4,False,234,57,56.9
4,4,False,234,54,58.25
5,4,False,234,57,54.56
6,4,False,234,56,52.71
7,4,False,234,58,51.58
8,4,False,234,58,54.62
9,4,False,234,59,54.95
10,4,False,234,63,55.49
11,4,False,234,67,56.3
12,4,False,234,64,58.47
13,4,False,234,61,60.24
14,4,False,234,55,62.16
15,4,False,234,55,62.29
16,4,False,234,57,63.56
17,4,False,234,52,61.14
18,4,False,234,52,58.71
19,4,False,234,55,58.9
20,4,False,234,53,59.13
21,4,False,234,50,59.7
22,4,False,234,55,59.89
23,4,False,234,57,62.77
0,5,True,235,56,55.94
1,5,True,235,52,55.81
2,5,True,235,59,59.86
3,5,True,235,63,59.35
4,5,True,235,52,55.94
5,5,True,235,53,54.52
6,5,True,235,56,56.03
7,5,True,235,60,54.46
8,5,True,235,53,55.1
